,go_to_school_prob,wfh_prob,isolate_individual_on_symptoms,isolate_individual_on_positive,isolate_household_on_symptoms,isolate_household_on_positive,isolate_contacts_on_symptoms,isolate_contacts_on_positive,test_contacts_on_positive,do_symptom_testing,do_manual_tracing,do_app_tracing,max_contacts,quarantine_length,Weighted Combination
0,0.20914320284908872,0.5359970614371352,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17.0,10.0,1.5525902310773638
1,0.7061074938448048,0.6523833768483365,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,13.0,10.0,1.1364367675912208
2,0.13087939437220875,0.2596138862315048,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,18.0,9.0,1.4411002152161996
3,0.7565602154352729,0.163767882850898,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.3018409559569402
4,0.7665138753932504,0.5303790378141031,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,11.0,1.7233309718181045
5,0.6471151054740063,0.20349201647090728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,12.0,2.0620518518518516
6,0.7824376913588066,0.06683147186881948,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,3.0,1.8454268369078657
7,0.8328008034742089,0.6308058739000275,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,19.0,1.0,7.972565266684146
8,0.720062198573587,0.3376884781799563,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0,1.0,1.2133224374384217
9,0.453101459465973,0.14342318864592124,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,20.0,13.0,10.475138672291353
10,0.5034531587402546,0.01940475950076266,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,7.0,1.5457542248995746
11,0.82853470096045,0.5414477471804598,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,18.0,13.0,1.1899803236005475
12,0.2037960369070182,0.39559700596604525,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,13.0,6.0,1.426373118483967
13,0.9061979289113545,0.375432360756004,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,20.0,6.0,1.3062766198968436
14,0.2791820603234647,0.15404978197398062,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1.5626015826190487
15,0.9449618368527446,0.6712977891580618,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.0,8.0,1.022477768324886
16,0.8655038809595584,0.6415916960345944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,1.5766666666666667
17,0.609442852154502,0.15528186397485363,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,1.9107383792255122
18,0.10363915475988061,0.6540778322064057,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.8751453110927835
19,0.752975659189659,0.1828644722162075,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,14.0,1.3299891041050884
20,0.8244007247776429,0.6595870386221898,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,7.0,1.1741338172565128
21,0.8661671522399883,0.30988044186867625,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,20.0,14.0,1.7300678837219567
22,0.7773242005570704,0.28417245278412545,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,14.0,1.2748124532995861
23,0.19483975572482048,0.30370821150043303,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,1.535886051833523
24,0.7095102775666288,0.6578230705782376,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,1.0135333333333332
25,1.0,0.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,0.7225902310773639
26,1.0,0.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,0.7225902310773639
27,1.0,0.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,0.7225902310773639
28,1.0,0.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,0.7225902310773639
29,1.0,0.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,0.7225902310773639
